Date,2in,22in,42in,62in,82in,102in,122in,142in,162in
26-04-19 16:30:00 ,4.72,4.29,4.03,3.86,3.75,3.67,3.58,3.58,3.6
26-04-19 16:35:00 ,4.2,3.82,3.6,3.54,3.47,3.45,3.34,3.34,3.34
26-04-19 16:40:00 ,4.29,3.77,3.62,3.54,3.47,3.41,3.36,3.3,3.3
26-04-19 16:45:00 ,4.72,4.14,3.92,3.84,3.77,3.75,3.69,3.64,3.64
26-04-19 16:50:00 ,4.67,4.03,3.82,3.69,3.62,3.56,3.52,3.43,3.45
26-04-19 16:55:00 ,5.25,4.61,4.39,4.29,4.22,4.14,4.12,4.01,4.01
26-04-19 17:00:00 ,4.82,4.37,4.2,4.14,4.09,4.05,3.97,3.94,3.92
26-04-19 17:05:00 ,4.48,4.16,4.03,3.99,3.97,3.94,3.9,3.86,3.86
26-04-19 17:10:00 ,5.32,4.82,4.63,4.54,4.54,4.46,4.44,4.37,4.35
26-04-19 17:15:00 ,5.98,5.38,5.17,5.06,5.04,4.91,4.87,4.76,4.74
26-04-19 17:20:00 ,5.42,5.04,4.89,4.82,4.82,4.76,4.69,4.65,4.65
26-04-19 17:25:00 ,5.21,4.95,4.84,4.8,4.78,4.78,4.74,4.69,4.69
26-04-19 17:30:00 ,5.15,4.91,4.8,4.76,4.76,4.74,4.69,4.63,4.65
26-04-19 17:35:00 ,5.19,4.97,4.89,4.87,4.87,4.84,4.82,4.78,4.8
26-04-19 17:40:00 ,5.64,5.3,5.17,5.12,5.12,5.08,5.08,5.02,5.02
26-04-19 17:45:00 ,5.53,5.15,5.02,4.97,5.04,4.95,4.95,4.89,4.89
26-04-19 17:50:00 ,6.95,6.15,5.83,5.9,5.9,5.75,5.75,5.64,5.62
26-04-19 17:55:00 ,5.98,5.47,5.32,5.34,5.34,5.27,5.25,5.17,5.17
26-04-19 18:00:00 ,5.72,5.34,5.21,5.23,5.27,5.19,5.19,5.12,5.12
26-04-19 18:05:00 ,5.83,5.62,5.55,5.64,5.64,5.55,5.6,5.49,5.49
26-04-19 18:10:00 ,6.09,5.81,5.72,5.66,5.7,5.6,5.62,5.51,5.51
26-04-19 18:15:00 ,5.51,5.23,5.12,5.08,5.12,5.06,5.06,5,5
26-04-19 18:20:00 ,5.42,5.12,5.04,5,5.04,4.97,4.97,4.89,4.91
26-04-19 18:25:00 ,5.04,4.87,4.8,4.78,4.8,4.78,4.78,4.72,4.72
26-04-19 18:30:00 ,5.21,5,4.91,4.91,4.95,4.89,4.91,4.82,4.84
26-04-19 18:35:00 ,5.47,5.15,5.06,5.06,5.08,4.97,5.04,4.93,4.93
26-04-19 18:40:00 ,5.7,5.27,5.15,5.19,5.23,5.12,5.15,5.04,5.06
26-04-19 18:45:00 ,5.25,4.97,4.87,4.89,4.95,4.87,4.89,4.82,4.84
26-04-19 18:50:00 ,5.4,5.17,5.08,5.06,5.1,5,5.04,4.95,4.97
26-04-19 18:55:00 ,5.57,5.17,5.12,5.1,5.17,5.06,5.1,5,5.04
26-04-19 19:00:00 ,5.23,5,4.93,4.93,4.97,4.91,4.95,4.87,4.89
