timestamp_utc,sensor_sn,measurement_type,data_type,units,value
2026-06-18T00:00:00+00:00,22411189-1,Temperature,CURRENT,°C,20.632314453124998
2026-06-18T00:00:00+00:00,22411189-2,RH,CURRENT,%,75.50926985580224
2026-06-18T00:00:00+00:00,22411189-3,Dew Point,CURRENT,°C,16.17191865554526
2026-06-18T00:00:00+00:00,22411190-1,Temperature,CURRENT,°C,20.696665039062502
2026-06-18T00:00:00+00:00,22411190-2,RH,CURRENT,%,71.91424429694057
2026-06-18T00:00:00+00:00,22411190-3,Dew Point,CURRENT,°C,15.47020717971455
2026-06-18T00:00:00+00:00,22411191-1,Temperature,CURRENT,°C,20.975517578125
2026-06-18T00:00:00+00:00,22411191-2,RH,CURRENT,%,70.35172045471886
2026-06-18T00:00:00+00:00,22411191-3,Dew Point,CURRENT,°C,15.395009659116495
2026-06-18T00:00:00+00:00,22411525-1,Temperature,CURRENT,°C,21.061318359375
2026-06-18T00:00:00+00:00,22411525-2,RH,CURRENT,%,68.12390325780117
2026-06-18T00:00:00+00:00,22411525-3,Dew Point,CURRENT,°C,14.975797671985138
2026-06-18T00:00:00+00:00,22411526-1,Temperature,CURRENT,°C,20.567963867187494
2026-06-18T00:00:00+00:00,22411526-2,RH,CURRENT,%,76.23559929808499
2026-06-18T00:00:00+00:00,22411526-3,Dew Point,CURRENT,°C,16.260000529712748
2026-06-18T00:00:00+00:00,22411527-1,Temperature,CURRENT,°C,21.21146972656249
2026-06-18T00:00:00+00:00,22411527-2,RH,CURRENT,%,67.54558632791638
2026-06-18T00:00:00+00:00,22411527-3,Dew Point,CURRENT,°C,14.986490183522582
2026-06-18T00:00:00+00:00,22411528-1,Temperature,CURRENT,°C,20.482163085937493
2026-06-18T00:00:00+00:00,22411528-2,RH,CURRENT,%,77.84390020599679
2026-06-18T00:00:00+00:00,22411528-3,Dew Point,CURRENT,°C,16.505133989975125
2026-06-18T00:00:00+00:00,22411529-1,Temperature,CURRENT,°C,20.203310546874995
2026-06-18T00:00:00+00:00,22411529-2,RH,CURRENT,%,85.35896849011978
2026-06-18T00:00:00+00:00,22411529-3,Dew Point,CURRENT,°C,17.690374710624162
2026-06-18T00:00:00+00:00,22411530-1,Temperature,CURRENT,°C,20.825366210937496
2026-06-18T00:00:00+00:00,22411530-2,RH,CURRENT,%,70.31204699778745
2026-06-18T00:00:00+00:00,22411530-3,Dew Point,CURRENT,°C,15.2422759959553
2026-06-18T00:01:00+00:00,22411541-S,Battery,CURRENT,V,8.477390625
2026-06-18T00:05:00+00:00,22411189-1,Temperature,CURRENT,°C,20.503613281250004
2026-06-18T00:05:00+00:00,22411189-2,RH,CURRENT,%,76.6170748455024
2026-06-18T00:05:00+00:00,22411189-3,Dew Point,CURRENT,°C,16.276099493240544
2026-06-18T00:05:00+00:00,22411190-1,Temperature,CURRENT,°C,20.589414062500005
2026-06-18T00:05:00+00:00,22411190-2,RH,CURRENT,%,72.68787670710307
2026-06-18T00:05:00+00:00,22411190-3,Dew Point,CURRENT,°C,15.534151645111924
2026-06-18T00:05:00+00:00,22411191-1,Temperature,CURRENT,°C,20.846816406249992
2026-06-18T00:05:00+00:00,22411191-2,RH,CURRENT,%,68.7052719920653
2026-06-18T00:05:00+00:00,22411191-3,Dew Point,CURRENT,°C,14.902999583805943
2026-06-18T00:05:00+00:00,22411525-1,Temperature,CURRENT,°C,20.911166992187496
2026-06-18T00:05:00+00:00,22411525-2,RH,CURRENT,%,66.31418326085299
2026-06-18T00:05:00+00:00,22411525-3,Dew Point,CURRENT,°C,14.41484950539573
2026-06-18T00:05:00+00:00,22411526-1,Temperature,CURRENT,°C,20.396362304687493
2026-06-18T00:05:00+00:00,22411526-2,RH,CURRENT,%,77.9842832074464
2026-06-18T00:05:00+00:00,22411526-3,Dew Point,CURRENT,°C,16.450188171644385
2026-06-18T00:05:00+00:00,22411527-1,Temperature,CURRENT,°C,21.039868164062504
2026-06-18T00:05:00+00:00,22411527-2,RH,CURRENT,%,65.90218966964217
2026-06-18T00:05:00+00:00,22411527-3,Dew Point,CURRENT,°C,14.44077933759341
2026-06-18T00:05:00+00:00,22411528-1,Temperature,CURRENT,°C,20.396362304687493
2026-06-18T00:05:00+00:00,22411528-2,RH,CURRENT,%,82.20035095750363
2026-06-18T00:05:00+00:00,22411528-3,Dew Point,CURRENT,°C,17.281363407159173
2026-06-18T00:05:00+00:00,22411529-1,Temperature,CURRENT,°C,20.074609375
2026-06-18T00:05:00+00:00,22411529-2,RH,CURRENT,%,87.5349050125887
2026-06-18T00:05:00+00:00,22411529-3,Dew Point,CURRENT,°C,17.964174654188838
2026-06-18T00:05:00+00:00,22411530-1,Temperature,CURRENT,°C,20.718115234375
2026-06-18T00:05:00+00:00,22411530-2,RH,CURRENT,%,69.92751964599069
2026-06-18T00:05:00+00:00,22411530-3,Dew Point,CURRENT,°C,15.054094926510961
2026-06-18T00:06:00+00:00,22411541-S,Battery,CURRENT,V,8.474159912109375
2026-06-18T00:10:00+00:00,22411189-1,Temperature,CURRENT,°C,20.3534619140625
2026-06-18T00:10:00+00:00,22411189-2,RH,CURRENT,%,82.82749675745785
2026-06-18T00:10:00+00:00,22411189-3,Dew Point,CURRENT,°C,17.359826890564367
2026-06-18T00:10:00+00:00,22411190-1,Temperature,CURRENT,°C,20.460712890624997
2026-06-18T00:10:00+00:00,22411190-2,RH,CURRENT,%,77.83932249942778
2026-06-18T00:10:00+00:00,22411190-3,Dew Point,CURRENT,°C,16.48338528715042
2026-06-18T00:10:00+00:00,22411191-1,Temperature,CURRENT,°C,20.67521484374999
2026-06-18T00:10:00+00:00,22411191-2,RH,CURRENT,%,72.26977950713359
2026-06-18T00:10:00+00:00,22411191-3,Dew Point,CURRENT,°C,15.526599782529281
2026-06-18T00:10:00+00:00,22411525-1,Temperature,CURRENT,°C,20.782465820312503
2026-06-18T00:10:00+00:00,22411525-2,RH,CURRENT,%,70.55924315251393
2026-06-18T00:10:00+00:00,22411525-3,Dew Point,CURRENT,°C,15.255843722149498
2026-06-18T00:10:00+00:00,22411526-1,Temperature,CURRENT,°C,20.2676611328125
2026-06-18T00:10:00+00:00,22411526-2,RH,CURRENT,%,83.19981689173724
2026-06-18T00:10:00+00:00,22411526-3,Dew Point,CURRENT,°C,17.346939228888985
2026-06-18T00:10:00+00:00,22411527-1,Temperature,CURRENT,°C,20.954067382812504
2026-06-18T00:10:00+00:00,22411527-2,RH,CURRENT,%,70.2845807583734
2026-06-18T00:10:00+00:00,22411527-3,Dew Point,CURRENT,°C,15.35955111453751
2026-06-18T00:10:00+00:00,22411528-1,Temperature,CURRENT,°C,20.203310546874995
2026-06-18T00:10:00+00:00,22411528-2,RH,CURRENT,%,85.24452582589456
2026-06-18T00:10:00+00:00,22411528-3,Dew Point,CURRENT,°C,17.669059992994725
2026-06-18T00:10:00+00:00,22411529-1,Temperature,CURRENT,°C,19.967358398437504
2026-06-18T00:10:00+00:00,22411529-2,RH,CURRENT,%,89.19508659494926
2026-06-18T00:10:00+00:00,22411529-3,Dew Point,CURRENT,°C,18.15778989831592
2026-06-18T00:10:00+00:00,22411530-1,Temperature,CURRENT,°C,20.503613281250004
2026-06-18T00:10:00+00:00,22411530-2,RH,CURRENT,%,72.76417181658655
2026-06-18T00:10:00+00:00,22411530-3,Dew Point,CURRENT,°C,15.467940950666327
2026-06-18T00:11:00+00:00,22411541-S,Battery,CURRENT,V,8.474159912109375
2026-06-18T00:15:00+00:00,22411189-1,Temperature,CURRENT,°C,20.13895996093749
2026-06-18T00:15:00+00:00,22411189-2,RH,CURRENT,%,81.63881895170519
2026-06-18T00:15:00+00:00,22411189-3,Dew Point,CURRENT,°C,16.92148438685942
2026-06-18T00:15:00+00:00,22411190-1,Temperature,CURRENT,°C,20.2676611328125
2026-06-18T00:15:00+00:00,22411190-2,RH,CURRENT,%,76.7223620965896
2026-06-18T00:15:00+00:00,22411190-3,Dew Point,CURRENT,°C,16.06903362098395
2026-06-18T00:15:00+00:00,22411191-1,Temperature,CURRENT,°C,20.6108642578125
2026-06-18T00:15:00+00:00,22411191-2,RH,CURRENT,%,73.72243839169909
2026-06-18T00:15:00+00:00,22411191-3,Dew Point,CURRENT,°C,15.775799033045878
2026-06-18T00:15:00+00:00,22411525-1,Temperature,CURRENT,°C,20.67521484374999
2026-06-18T00:15:00+00:00,22411525-2,RH,CURRENT,%,69.73983367666132
2026-06-18T00:15:00+00:00,22411525-3,Dew Point,CURRENT,°C,14.971193020602861
2026-06-18T00:15:00+00:00,22411526-1,Temperature,CURRENT,°C,20.053159179687505
2026-06-18T00:15:00+00:00,22411526-2,RH,CURRENT,%,79.5223926146334
2026-06-18T00:15:00+00:00,22411526-3,Dew Point,CURRENT,°C,16.42381813784143
2026-06-18T00:15:00+00:00,22411527-1,Temperature,CURRENT,°C,20.782465820312503
2026-06-18T00:15:00+00:00,22411527-2,RH,CURRENT,%,69.09437705043106
2026-06-18T00:15:00+00:00,22411527-3,Dew Point,CURRENT,°C,14.929258370550254
2026-06-18T00:15:00+00:00,22411528-1,Temperature,CURRENT,°C,20.053159179687505
2026-06-18T00:15:00+00:00,22411528-2,RH,CURRENT,%,84.19317921721218
2026-06-18T00:15:00+00:00,22411528-3,Dew Point,CURRENT,°C,17.324875634325682
2026-06-18T00:15:00+00:00,22411529-1,Temperature,CURRENT,°C,19.838657226562496
2026-06-18T00:15:00+00:00,22411529-2,RH,CURRENT,%,89.6253910124361
2026-06-18T00:15:00+00:00,22411529-3,Dew Point,CURRENT,°C,18.107408074447463
2026-06-18T00:15:00+00:00,22411530-1,Temperature,CURRENT,°C,20.460712890624997
2026-06-18T00:15:00+00:00,22411530-2,RH,CURRENT,%,75.25749599450675
2026-06-18T00:15:00+00:00,22411530-3,Dew Point,CURRENT,°C,15.9536036041817
2026-06-18T00:16:00+00:00,22411541-S,Battery,CURRENT,V,8.467698486328125
2026-06-18T00:20:00+00:00,22411189-1,Temperature,CURRENT,°C,19.967358398437504
2026-06-18T00:20:00+00:00,22411189-2,RH,CURRENT,%,82.15609979400321
2026-06-18T00:20:00+00:00,22411189-3,Dew Point,CURRENT,°C,16.853566420088793
2026-06-18T00:20:00+00:00,22411190-1,Temperature,CURRENT,°C,20.160410156250002
2026-06-18T00:20:00+00:00,22411190-2,RH,CURRENT,%,78.43747615777829
2026-06-18T00:20:00+00:00,22411190-3,Dew Point,CURRENT,°C,16.312120377296807
2026-06-18T00:20:00+00:00,22411191-1,Temperature,CURRENT,°C,20.632314453124998
2026-06-18T00:20:00+00:00,22411191-2,RH,CURRENT,%,71.34660868238346
2026-06-18T00:20:00+00:00,22411191-3,Dew Point,CURRENT,°C,15.284738651739541
2026-06-18T00:20:00+00:00,22411525-1,Temperature,CURRENT,°C,20.718115234375
2026-06-18T00:20:00+00:00,22411525-2,RH,CURRENT,%,67.73479819943542
2026-06-18T00:20:00+00:00,22411525-3,Dew Point,CURRENT,°C,14.559263673880013
